have,with,about,pathway,title,description,url,format,documentType,publisher,jurisdiction,comments
Problem;Complaint;Conflict;Dispute;Issue;,a neighbour;a neighbour next door;a neighbour in my street;a neighbour in my building;,Cameras;,Self Resolution;Assisted Resolution;,What can I do about my neighbour's security camera?| Office of the Australian Information Commissioner - OAIC,,http://www.oaic.gov.au/privacy/privacy-topics/photos-and-surveillance/what-can-i-do-about-my-neighbour-s-security-camera,text/html,guidelines,Australia,Australia,Office of the Australian Information Commissioner - What can I do about my neighbours security camera? > Refers to state community mediation centres [This is the only relevant resource available - only in English]
Problem;Complaint;Conflict;Dispute;Issue;,someone in my neighbourhood;a neighbour in my building;a neighbour next door;a neighbour in my street;a neighbour;,Lighting;Noise;Smells;,Self Resolution;,"Noise, light and odour issues (Department of Environment and Heritage Protection)","Any environmental nuisance issues arising out of Coal Seam Gas operations, such as noise, light and odour, are covered by environmental authority conditions.",http://www.ehp.qld.gov.au/management/non-mining/noise-light-odour.html,text/html,procedure,Queensland,Queensland,"information on Dept of Environment website outlining legal responsibilities in relation to noise, light and odour issues"
Question;,someone in my neighbourhood;,Children;,Self Resolution;Assisted Resolution;Formal Resolution;,Lawstuff Australia - Know Your Rights - - - Topics,,http://www.lawstuff.org.au/qld_law/topics/,text/html,guidelines,Queensland,Queensland,Website designed for young people. Provides information on legal rights with links to detailed information listed under topic names e.g. cyberbullying.
Question;Issue;,a neighbour;someone in my neighbourhood;,Noise;Dogs and other pets;,Self Resolution;,City of Gold Coast | Barking dogs,"Nearly all dogs bark - it is a natural response, but excessive barking can be annoying for neighbours.",http://www.goldcoast.qld.gov.au/community/barking-dogs-3498.html,text/html,fact sheet,City of Gold Coast,Gold Coast City Council,Gold Coast City Council Barking Dog Page - Dog owner
Complaint;Problem;Concern;Issue;,a neighbour;someone in my neighbourhood;a neighbour in my street;,Trees;Dogs and other pets;,Formal Resolution;,City of Gold Coast | Report a problem - Animals,"Find out how to report a found animal or a problem with barking or dangerous dogs, excess animals on a property, plus how to find your lost pet, or have a dead animal removed from City land.",http://www.goldcoast.qld.gov.au/report-a-problem-animals-24148.html,text/html,procedure,City of Gold Coast,Gold Coast City Council,Gold Coast City Council Barking Dog Page - Make a complaint
Complaint;Problem;Concern;Issue;,a neighbour;someone in my neighbourhood;a neighbour in my street;,Noise;Dogs and other pets;,Self Resolution;Assisted Resolution;,Dogs : Ipswich City Council,,http://www.ipswich.qld.gov.au/residents/animals/dogs,text/html,procedure,Ipswich City Council,Ipswich City Council,Ipswich City Council Nuisance Dogs - Mediation and/or complaint
Concern;Problem;Complaint;Issue;,a neighbour;someone in my neighbourhood;a neighbour in my street;,Noise;Dogs and other pets;,Self Resolution;,Barking dogs - Lockyer Valley Regional Council,Lockyer Valley Regional Council,http://www.lockyervalley.qld.gov.au/community/animal-control/barking-dogs,text/html,fact sheet,Lockyer Valley Regional Council,Lockyer Valley Regional Council,Lockyer Valley Council Barking Dogs - information
Question;,a neighbour;,Noise;Dogs and other pets;,Assisted Resolution;,Animal Seminars - Logan City Council,,http://www.logan.qld.gov.au/facilities-and-recreation/animals/pet-care/animal-seminars,text/html,guidelines,Logan City Council,Logan City Council,Logan City Council Dogs - Proactive - Animal Seminars
Concern;Problem;Complaint;Issue;,a neighbour;someone in my neighbourhood;a neighbour in my street;,Noise;Dogs and other pets;,Self Resolution;,Barking Dogs - Logan City Council,,http://www.logan.qld.gov.au/facilities-and-recreation/animals/pet-care/barking-dogs,text/html,fact sheet,Logan City Council,Logan City Council,Logan City Council Barking Dogs - Information
Concern;Problem;Complaint;Issue;,a neighbour;someone in my neighbourhood;,Noise;Dogs and other pets;,Self Resolution;,Barking dogs - Moreton Bay Regional Council,,https://www.moretonbay.qld.gov.au/general.aspx?id=13577,text/html,fact sheet,Moreton Bay Regional Council,Moreton Bay Regional Council,Moreton Bay Regional Council Barking Dogs - Information
Concern;Problem;Complaint;Issue;,a neighbour;someone in my neighbourhood;,Noise;Dogs and other pets;,Self Resolution;Formal Resolution;,Barking dogs,,http://www.redland.qld.gov.au/FormsPermits/PetManagement/Dog/Pages/BarkingDogs.aspx,text/html,fact sheet,Redland City Council,Redland City Council,Redland City Council Barking Dogs - Information
Concern;Problem;Complaint;Issue;,a neighbour;someone in my neighbourhood;,Noise;Dogs and other pets;,Self Resolution;Assisted Resolution;,Noisy and nuisance animals - Scenic Rim Regional Council,,http://www.scenicrim.qld.gov.au/environment/animalnoise.shtml,text/html,procedure,Scenic Rim Regional Council,Scenic Rim Regional Council,Scenic Rim Council Noisy and Nuisance Animals
Issue;,a neighbour;someone in my neighbourhood;,Noise;Dogs and other pets;,Self Resolution;,Fact Sheet   Barking Dogs   A Dog Owners View,,http://www.somerset.qld.gov.au/documents/611941/4483953/Fact%20Sheet%20-%20Barking%20Dogs%20-%20A%20Dog%20Owners%20View.pdf,application/pdf,fact sheet,Somerset Regional Council,Somerset Regional Council,Somerset Regional Council Barking Dogs - A Dog Owner's View Fact Sheet
Concern;Problem;Complaint;Issue;,a neighbour;someone in my neighbourhood;,Noise;Dogs and other pets;,Self Resolution;,Fact Sheet   Barking Dogs   A Neighbours View,,http://www.somerset.qld.gov.au/documents/611941/4483953/Fact%20Sheet%20-%20Barking%20Dogs%20-%20A%20Neighbours%20View.pdf,application/pdf,fact sheet,Somerset Regional Council,Somerset Regional Council,Somerset Regional Council Barking Dogs - A Neighbour's View Fact Sheet
Concern;Problem;Complaint;Issue;,a neighbour;someone in my neighbourhood;,Noise;Dogs and other pets;,Self Resolution;,barking complainant,,http://www.sunshinecoast.qld.gov.au/addfiles/documents/animals/barking_complainant.pdf,application/pdf,procedure,Sunshine Coast Regional Council,Sunshine Coast Regional Council,Sunshine Coast Council Barking and Roaming Dogs - Fact Sheet for Complainant
Issue;,a neighbour;someone in my neighbourhood;,Noise;Dogs and other pets;,Self Resolution;,barking owner,,http://www.sunshinecoast.qld.gov.au/addfiles/documents/animals/barking_owner.pdf,application/pdf,fact sheet,Sunshine Coast Regional Council,Sunshine Coast Regional Council,Sunshine Coast Council Barking and Roaming Dogs - Fact Sheet for Owner
Concern;Problem;Conflict;Issue;,a neighbour;someone in my neighbourhood;,Noise;Dogs and other pets;,Formal Resolution;,Animals - Complaints & Pound - Banana Shire Council,,http://www.banana.qld.gov.au/animals-complaints-pound,text/html,procedure,Banana Shire Council,Banana Shire Council,Banana Shire Council Animal Complaints - Making a Complaint
Concern;Problem;Complaint;Issue;,someone in my neighbourhood;a neighbour;,Noise;Dogs and other pets;,Self Resolution;,Animal Management | Bundaberg Regional Council,,http://www.bundaberg.qld.gov.au/environment/animals,text/html,fact sheet,Bundaberg Regional Council,Bundaberg Regional Council,Bundaberg Regional Council Animal Management - PDF found by clicking on 'Caring for your Cat or Dog' image
Concern;Problem;Complaint;Issue;,a neighbour;someone in my neighbourhood;,Noise;Dogs and other pets;,Self Resolution;,Animal management - Fraser Coast Regional Council,,http://www.frasercoast.qld.gov.au/animal-management,text/html,fact sheet,Fraser Coast Regional Council,Fraser Coast Regional Council,Fraser Coast Regional Council Animal Management - information
Concern;Problem;Complaint;Issue;,a neighbour;someone in my neighbourhood;,Noise;Dogs and other pets;,Self Resolution;,Animal management - Gympie Regional Council - Gympie Regional Council,,https://www.gympie.qld.gov.au/animal-management,text/html,fact sheet,Gympie Regional Council,Gympie Regional Council,Gympie Regional Council Animal Management - Information under 'Neighbourhood Concerns'
Concern;Problem;Complaint;Issue;,a neighbour;someone in my neighbourhood;,Noise;Dogs and other pets;,Self Resolution;,North Burnett Regional Council - Barking Dogs,,http://www.northburnett.qld.gov.au/?id=155,text/html,fact sheet,North Burnett Regional Council,North Burnett Regional Council,North Burnett Regional Council Barking Dogs - Information
Concern;Problem;Complaint;Issue;,a neighbour;someone in my neighbourhood;,Noise;Dogs and other pets;,Self Resolution;,Responsible Pet Ownership - South Burnett Regional Council,,http://www.southburnett.qld.gov.au/animal-control#Barking,text/html,fact sheet,South Burnett Regional Council,South Burnett Regional Council,South Burnett Regional Council Responsible Pet Ownership - information under 'Barking Dogs'
Concern;Problem;Complaint;Issue;,a neighbour;someone in my neighbourhood;,Noise;Dogs and other pets;,Formal Resolution;,Contact Us - South Burnett Regional Council,,http://www.southburnett.qld.gov.au/contact-us,text/html,procedure,South Burnett Regional Council,South Burnett Regional Council,South Burnett Regional Council Request for Service- Barking dogs is a request for service NOT a complaint
Concern;Problem;Complaint;Issue;,a neighbour;someone in my neighbourhood;,Noise;Dogs and other pets;,Self Resolution;,Managing barking in our community,,http://www.goondiwindirc.qld.gov.au/documents/17518/211487/Managing%20barking%20in%20our%20community.pdf,application/pdf,fact sheet,Goondiwindi Regional Council,Goondiwindi Regional Council,Goondiwindi Regional Council - Managing Marking in Our Community Fact Sheet
Concern;Problem;Complaint;Issue;,a neighbour;someone in my neighbourhood;,Noise;Dogs and other pets;,Self Resolution;,Neighbours Dog Barking Excessively Brochure,,http://www.goondiwindirc.qld.gov.au/documents/17518/211487/Neighbours%20Dog%20Barking%20Excessively%20Brochure.pdf,application/pdf,fact sheet,Goondiwindi Regional Council,Goondiwindi Regional Council,Goondiwindi Regional Council - Barking Dog Nusiance Complaint Information
Concern;Problem;Complaint;Issue;,a neighbour;someone in my neighbourhood;,Noise;Dogs and other pets;,Self Resolution;,Barking dogs,"Local government information for the beautiful areas between Yarraman and Clifton, Millmerran and Toowoomba.",http://www.toowoombarc.qld.gov.au/laws-and-permits/animal-regulations/2792-barking-dogs,text/html,fact sheet,Toowoomba Regional Council,Toowoomba Regional Council,Toowoomba Regional Council - Barking Dogs
Concern;Problem;Complaint;Issue;,a neighbour;someone in my neighbourhood;,Noise;Dogs and other pets;,Self Resolution;,Barking Dogs - Central Highlands Regional Council,,http://www.centralhighlands.qld.gov.au/barking-dogs,text/html,fact sheet,Central Highlands Regional Council,Central Highlands Regional Council,Central Highlands Regional Council Barking Dogs
Concern;Problem;Complaint;Issue;,a neighbour;,Noise;Dogs and other pets;,Self Resolution;,Nuisances/Complaints - Gladstone Regional Council,,http://www.gladstone.qld.gov.au/nuisances/complaints,text/html,procedure,Gladstone Regional Council,Gladstone Regional Council,Gladstone Regional Council - Nuisance/ Complaints
Concern;Problem;Complaint;Issue;,a neighbour;someone in my neighbourhood;,Noise;Dogs and other pets;,Formal Resolution;,Nuisance Animals - Isaac Regional Council,,http://www.isaac.qld.gov.au/nuisance-animals,text/html,procedure,Isaac Regional Council,Isaac Regional Council,Isaac Regional Council - Nuisance Animal Reporting a Nuisance Animal
Concern;Problem;Complaint;Issue;,a neighbour;someone in my neighbourhood;,Noise;Dogs and other pets;,Self Resolution;,Barking dogs,,http://www.mackay.qld.gov.au/residents/local_laws/animal_management/responsible_dog_ownership/barking_dogs,text/html,fact sheet,Mackay Regional Council,Mackay Regional Council,Mackay Regional Council Barking Dogs
Concern;Problem;Complaint;Issue;,a neighbour;someone in my neighbourhood;,Noise;Dogs and other pets;,Self Resolution;,Barking Dogs,,http://www.rockhamptonregion.qld.gov.au/Council_Services/Animal_Management/Helpful_information_for_pet_owners/Barking_Dogs,text/html,fact sheet,Rockhampton Regional Council,Rockhampton Regional Council,Rockhampton Regional Council Barking Dogs
Concern;Problem;Complaint;Issue;,a neighbour;someone in my neighbourhood;,Noise;Dogs and other pets;,Self Resolution;Formal Resolution;,Barking Dogs - Burdekin Shire Council,"All dogs bark, but some barking dogs become a real neighbourhood nuisance.",http://www.burdekin.qld.gov.au/regulations-laws-and-forms/animal-management/dogs/barking-dogs/,text/html,fact sheet,Burdekin Shire Council,Burdekin Shire Council,Burdekin Regional Council Barking Dogs
Concern;Problem;Complaint;Issue;,a neighbour;someone in my neighbourhood;,Noise;Dogs and other pets;,Self Resolution;,Fact Sheet Barking Dogs,,http://www.charterstowers.qld.gov.au/documents/41682213/41699791/Fact%20Sheet%20Barking%20Dogs.pdf,application/pdf,fact sheet,Charters Towers Regional Council,Charters Towers Regional Council,Charters Towers Regional Council Barking Dog Fact Sheet
Concern;Problem;Complaint;Issue;,a neighbour;someone in my neighbourhood;,Noise;Dogs and other pets;,Self Resolution;,Barking Dogs - Hinchinbrook Shire Council,,http://www.hinchinbrook.qld.gov.au/barking-dogs,text/html,fact sheet,Hinchinbrook Shire Council,Hinchinbrook Shire Council,Hinchinbrook Shire Council Barking Dogs
Concern;Problem;Complaint;Issue;,a neighbour;someone in my neighbourhood;,Noise;Dogs and other pets;,Self Resolution;,Barking Dogs,,http://www.townsville.qld.gov.au/resident/animals/Documents/Barking%20Dogs.pdf,application/pdf,fact sheet,Townsville City Council,Townsville City Council,Townsville City Council Barking Dogs Fact Sheet
Concern;Problem;Complaint;Issue;,a neighbour;someone in my neighbourhood;,Noise;Dogs and other pets;,Self Resolution;,Whitsunday Regional Council - Animals - Barking Dogs,,http://www.whitsunday.qld.gov.au/barking-dogs,text/html,fact sheet,Whitsunday Regional Council,Whitsunday Regional Council,Whitsunday Regional Council Barking Dogs
Concern;Problem;Complaint;Issue;,a neighbour;someone in my neighbourhood;,Noise;Dogs and other pets;,Self Resolution;,Barking dog - Cairns Regional Council,Council investigates all reports of nuisance barking but we need your help before we can take action. Please remember not all barking is a nuisance under Local Laws- even if it is annoying.,http://www.cairns.qld.gov.au/community-environment/pets-and-domestic-animals/complaints/barking-dog,text/html,fact sheet,Cairns Regional Council,Cairns Regional Council,Cairns Regional Council Barking Dogs with additional pdf links on page
Concern;Problem;Complaint;Issue;,a neighbour;someone in my neighbourhood;,Noise;Dogs and other pets;,Self Resolution;Formal Resolution;,Barking dog issue - Cassowary Coast Regional Council,,http://www.cassowarycoast.qld.gov.au/barking-dog-issue,text/html,procedure,Cassowary Coast Regional Council,Cassowary Coast Regional Council,Cassowary Coast Regional Council Barking Dog Issues - Process
Concern;Problem;Complaint;Issue;,a neighbour;someone in my neighbourhood;,Noise;Dogs and other pets;,Formal Resolution;,Home - cook,,http://www.cook.qld.gov.au/,text/html,procedure,Cook Shire Council,Cook Shire Council,Cook Shire Council - Complaints Process
Problem;Complaint;Issue;,a neighbour;someone in my neighbourhood;,Noise;Dogs and other pets;,Self Resolution;Formal Resolution;,Lockhart River Aboriginal Shire Council - Animal Management,,http://lockhart.qld.gov.au/environment/animal-management/,text/html,guidelines,Lockhart River Aboriginal Shire Council,Lockhart River Aboriginal Shire Council,Lockhart River Aboriginal Shire - Animal Management
Concern;Complaint;Issue;,a neighbour;someone in my neighbourhood;,Dogs and other pets;,Self Resolution;,Rangers,,http://napranum.qld.gov.au/council-departments/rangers,text/html,guidelines,Napranum Aboriginal Shire Council,Napranum Aboriginal Shire Council,Napranum Aboriginal Shire - Information about Rangers and local wildlife
Concern;Complaint;Issue;,a neighbour;someone in my neighbourhood;,Dogs and other pets;,Formal Resolution;,Animal Control - Northern Peninsula Area Regional Council,,http://www.nparc.qld.gov.au/animal-control,text/html,legislation,Northern Peninsula Area Regional Council,Northern Peninsula Area Regional Council,Northern Peninsula Area Region Council - Animal Control Information
Concern;Complaint;Issue;,a neighbour;someone in my neighbourhood;,Dogs and other pets;Noise;,Self Resolution;,Animal Services - TRC - Tablelands Regional Council,,http://www.trc.qld.gov.au/animal-services/,text/html,legislation,Tablelands Regional Council,Tablelands Regional Council,Tablelands Regional Council - Animal Services links to laws and resources
Concern;Issue;,a neighbour;someone in my neighbourhood;,Dogs and other pets;,Assisted Resolution;,Animal Control - torres,,http://www.torres.qld.gov.au/animal-control,text/html,legislation,Torres Shire Council,Torres Shire Council,Torres Shire Council - Dog registration
Concern;Issue;,a neighbour;someone in my neighbourhood;,Dogs and other pets;,Assisted Resolution;,Weipa Town Authority,,http://www.weipatownoffice.com/55.html,text/html,guidelines,Other,Other,Weipa Town Authority - Pet and Animal Management
Concern;Issue;,a neighbour;someone in my neighbourhood;,Dogs and other pets;,Self Resolution;,Pet Registration - Burke Shire Council,,http://www.burke.qld.gov.au/pet-registration,text/html,guidelines,Burke Shire Council,Burke Shire Council,Burke Shire Council - Pet Registration
Issue;Question;,a neighbour;someone in my neighbourhood;,Dogs and other pets;,Self Resolution;,Pets and Animals - Carpentaria Shire Council,,http://www.carpentaria.qld.gov.au/pets-and-animals,text/html,guidelines,Carpentaria Shire Council,Carpentaria Shire Council,Carpentaria Shire Council - Information about registering pets
Question;,someone in my neighbourhood;,Dogs and other pets;,Self Resolution;,Ranger - Cloncurry Shire Council,,http://www.cloncurry.qld.gov.au/ranger/-/journal_content/56/674573/6050901?p_p_auth=SUfox2iy&_56_showArticlTitleInPortlet=true,text/html,guidelines,Cloncurry Shire Council,Cloncurry Shire Council,Cloncurry Shire Council - Responsible Animal Ownership
Question;Issue;,a neighbour;someone in my neighbourhood;,Noise;Dogs and other pets;,Self Resolution;,Ranger - Cloncurry Shire Council,,http://www.cloncurry.qld.gov.au/ranger?p_p_auth=aWyN00mH&p_p_id=101&p_p_lifecycle=0&p_p_state=maximized&p_p_mode=view&_101_struts_action=%2Fasset_publisher%2Fview_content&_101_assetEntryId=685970&_101_type=document&redirect=http%3A%2F%2Fwww.cloncurry.qld.gov.au%2Franger%3Fp_p_id%3D3%26p_p_lifecycle%3D0%26p_p_state%3Dmaximized%26p_p_mode%3Dview%26_3_groupId%3D0%26_3_keywords%3Dbarking%26_3_struts_action%3D%252Fsearch%252Fsearch%26_3_redirect%3D%252Franger%253Fp_p_id%253D3%2526p_p_lifecycle%253D0%2526p_p_state%253Dmaximized%2526p_p_mode%253Dview%2526_3_struts_action%253D%25252Fsearch%25252Fsearch%2526_3_redirect%253D%25252Franger%25252F-%25252Fjournal_content%25252F56%25252F674573%25252F6050901%25253Fp_p_auth%25253DSUfox2iy%252526_56_showArticlTitleInPortlet%25253Dtrue%2526_3_keywords%253Dnoise%2526_3_groupId%253D0,text/html,legislation,Cloncurry Shire Council,Cloncurry Shire Council,Cloncurry Shire Council - Local Law Keeping and Control of Animals
Question;Issue;,a neighbour;someone in my neighbourhood;,Dogs and other pets;,Self Resolution;,Domestic Animals - croydon,,http://www.croydon.qld.gov.au/domestic-animals,text/html,guidelines,Croydon Shire Council,Croydon Shire Council,Croydon Shire Council - Animal Management and Registration information
Concern;Issue;,a neighbour;someone in my neighbourhood;,Dogs and other pets;,Self Resolution;,Domestic Animals - etheridge,,http://www.etheridge.qld.gov.au/domestic-animals,text/html,guidelines,Etheridge Shire Council,Etheridge Shire Council,Etheridege Shire Council - Information about keeping domestic animals and responsiblity of pet owners
Concern;Problem;Issue;,a neighbour;someone in my neighbourhood;,Dogs and other pets;Noise;,Formal Resolution;,Request for Service - Flinders Shire Council,,http://www.flinders.qld.gov.au/request-for-service,text/html,form,Flinders Shire Council,Flinders Shire Council,Flinders Shire Council - Online complaints form about barking dogs
Question;,a neighbour;someone in my neighbourhood;,Dogs and other pets;,Self Resolution;,Animals - mckinlay,,http://www.mckinlay.qld.gov.au/councilservices/animals.shtml/-/journal_content/56_INSTANCE_0000/17564/310F2ED26835C089F81D0635240BF2C0?p_p_state_rcv=1,text/html,guidelines,McKinlay Shire Council,McKinlay Shire Council,McKinlay Shire Council - Animal registration and information page
Concern;Problem;Issue;,a neighbour;someone in my neighbourhood;,Noise;Dogs and other pets;,Self Resolution;,Animal Ownership - Mount Isa City Council,,http://www.mountisa.qld.gov.au/animal-ownership1#Barking,text/html,guidelines,Mount Isa City Council,Mount Isa City Council,Mount Isa City Council - Animal Ownership Information including registration and barking dogs
Concern;Question;,a neighbour;someone in my neighbourhood;,Dogs and other pets;,Self Resolution;,Animal Control - richmond,,http://www.richmond.qld.gov.au/animal-control,text/html,guidelines,Richmond Shire Council,Richmond Shire Council,Richmond Shire Council - Animal control information and registration forms
Concern;Problem;Issue;,a neighbour;someone in my neighbourhood;,Noise;Dogs and other pets;,Assisted Resolution;,Animal Control - richmond,,http://www.barcaldinerc.qld.gov.au/documents/311418/9733156/Barking%20Dog%20Nuisance%20Pack.pdf,application/pdf,fact sheet,Barcaldine Regional Council,Barcaldine Regional Council,Barcaldine Regional Council - Barking Dogs Nuisance Pack
Concern;Issue;Issue;,a neighbour;someone in my neighbourhood;,Noise;Dogs and other pets;,Self Resolution;,Animal Registration - Barcoo Shire Council,Registration of your dog and/or cat is compulsory.,http://www.barcoo.qld.gov.au/about-council/animal-registration,text/html,guidelines,Barcoo Shire Council,Barcoo Shire Council,Barcoo Shire Council - Animal registration information including responsiblities of dog owner and contact information for coucil land protection officer
Question;Concern;Issue;,a neighbour;someone in my neighbourhood;,Dogs and other pets;Noise;,Self Resolution;,blackall-tambo -Responsible Pet Owner,,http://www.btrc.qld.gov.au/responsible-pet-owner,text/html,guidelines,Blackall-Tambo Regional Council,Blackall-Tambo Regional Council,Blackall-Tambo Regional Council - Responsible pet owner page includes information about barking dogs and council contac information.
Concern;Problem;Complaint;,a neighbour;someone in my neighbourhood;,Noise;Dogs and other pets;,Formal Resolution;,Dog Registration - Diamantina Shire Council,,http://www.diamantina.qld.gov.au/dog-registration,text/html,procedure,Diamantina Shire Council,Diamantina Shire Council,Diamantina Shire Council - Information about dog registration and complaints process for barking dogs
Question;,a neighbour;someone in my neighbourhood;,Dogs and other pets;,Self Resolution;,Animal Control & Registration - Longreach Regional Council,,http://www.longreach.qld.gov.au/animal-control-registration#dogscats,text/html,guidelines,Longreach Regional Council,Longreach Regional Council,Longreach Regional Council - General information about animal control and registration
Question;,a neighbour;,Dogs and other pets;,Self Resolution;,winton -Animal Control,,http://www.winton.qld.gov.au/animal-control,text/html,guidelines,Winton Shire Council,Winton Shire Council,Winton Shire Council - Animal Control information
Issue;Question;,a neighbour;,Dogs and other pets;,Self Resolution;,Home - Balonne Shire Council,,http://www.balonne.qld.gov.au/index.shtml/-/journal_content/56/722471/B41CFE72600AF432E56120DCA134FC93?p_p_auth=2DJqNgcS&_56_showArticlTitleInPortlet=true,text/html,guidelines,Balonne Shire Council,Balonne Shire Council,Balonne Shire Council - Dog registration
Question;Issue;,a neighbour;,Dogs and other pets;,Self Resolution;,Bulloo Shire Council - Domestic Animals,,http://www.bulloo.qld.gov.au/domestic-animals1,text/html,guidelines,Bulloo Shire Council,Bulloo Shire Council,Bulloo Shire Council - Registration of domestic animals
Concern;Problem;Issue;,a neighbour;someone in my neighbourhood;,Dogs and other pets;Noise;,Self Resolution;,Barking Dogs - Maranoa Regional Council,,http://www.maranoa.qld.gov.au/barking-dogs,text/html,guidelines,Maranoa Regional Council,Maranoa Regional Council,Maranoa Regional Council - Barking Dog Information
Concern;Problem;Issue;,a neighbour;,Dogs and other pets;Noise;,Assisted Resolution;,Murweh Shire Council - Animals Agistment,,http://www.murweh.qld.gov.au/animals-agistment,text/html,guidelines,Murweh Shire Council,Murweh Shire Council,Murweh Shire Council - Animal registration and information. Barking collars available through council.
Concern;Issue;Question;,someone in my neighbourhood;a neighbour;,Noise;Dogs and other pets;,Self Resolution;,get file?uuid=19d2355f 23b9 48fa a79a b52ef3cc1908&groupId=597641,,http://www.paroo.qld.gov.au/c/document_library/get_file?uuid=19d2355f-23b9-48fa-a79a-b52ef3cc1908&groupId=597641,text/html,fact sheet,Paroo Shire Council,Paroo Shire Council,Paroo Shire Council - Responsible dog ownership factsheet including some information about barking
Question;,a neighbour;,Dogs and other pets;,Self Resolution;,Pet Ownership | Quilpie Shire Council,,http://quilpie.qld.gov.au/about/community/pet-ownership/,text/html,guidelines,Quilpie Shire Council,Quilpie Shire Council,Quilpie Shire Council - Pet ownership inforamtion
Concern;Question;,a neighbour in my building;another unit owner/lot owner;a neighbour in my body corporate;the body corporate;,Noise;Behaviours;Trees;Smells;Fences;Abuse;Dogs and other pets;Threats;Children;Drainage;Pools;Renovations;Retaining walls;Parking;Objects;Rubbish bins;Easements;Lighting;By-law breaches (body corporate);Cameras;Common property (body corporate);Harassment;Wildlife;,Self Resolution;,Self resolution for disputes,"If you live in a unit and have a dispute with your neighbour, you should try to work it out between yourselves before making a formal dispute resolution application.",http://www.qld.gov.au/law/housing-and-neighbours/body-corporate/body-corporate-disputes/types-of-dispute-resolution/self-resolution-for-disputes/,text/html,guidelines,Queensland,Queensland,"Self resolution for body corporate disputes between neighbours, which could cover all of the dispute categories. * Most important link for self resolution in bodies coprorate"
Problem;Issue;,a neighbour in my building;another unit owner/lot owner;a neighbour in my body corporate;the body corporate;,Noise;Behaviours;Trees;Smells;Fences;Abuse;Dogs and other pets;Threats;Children;Drainage;Pools;Renovations;Retaining walls;Parking;Objects;Rubbish bins;Easements;Lighting;By-law breaches (body corporate);Cameras;Common property (body corporate);Harassment;Wildlife;,Assisted Resolution;,Conciliation for body corporate disputes,Conciliation could be a good way to resolve your body corporate dispute if you find self resolution is not working. It could save you money.,http://www.qld.gov.au/law/housing-and-neighbours/body-corporate/body-corporate-disputes/types-of-dispute-resolution/conciliation-for-body-corporate-disputes/,text/html,procedure,Queensland,Queensland,"Conciliation for body corporate disputes between neighbours, which could cover all of the dispute categories * Most important link for assisted resolution in bodies coprorate"
Disagreement;,a neighbour in my building;another unit owner/lot owner;a neighbour in my body corporate;the body corporate;,Noise;Behaviours;Trees;Smells;Fences;Abuse;Dogs and other pets;Threats;Children;Drainage;Pools;Renovations;Retaining walls;Parking;Objects;Rubbish bins;Easements;Lighting;By-law breaches (body corporate);Cameras;Common property (body corporate);Harassment;Wildlife;,Formal Resolution;,Adjudication for body corporate disputes,"If you can't resolve your body corporate dispute through self resolution and conciliation, you may have to apply for adjudication. See what steps you need to take.",http://www.qld.gov.au/law/housing-and-neighbours/body-corporate/body-corporate-disputes/types-of-dispute-resolution/adjudication-for-body-corporate-disputes/,text/html,procedure,Queensland,Queensland,"Adjudication body corporate disputes between neighbours, which could cover all of the dispute categories. * Most important link for formal resolution in bodies coprorate"
Question;,a neighbour;someone in my neighbourhood;a neighbour next door;a neighbour in my street;,Noise;Trees;Fences;Dogs and other pets;Children;Pools;Retaining walls;Rubbish bins;Lighting;Cameras;Behaviours;Smells;Abuse;Threats;Drainage;Renovations;Parking;Objects;Easements;Access;By-law breaches (body corporate);Common property (body corporate);Harassment;Wildlife;,Self Resolution;,Titles Registry contacts - Department of Natural Resources and Mines,Details for Titles Registry enquiries,https://www.dnrm.qld.gov.au/our-department/contact-us/titles-registry-contacts,text/html,guidelines,Queensland,Queensland,Titles registry will be able to assist with questions like - ""the property next door is rented. Who is the owner?""
Question;,a neighbour;,Trees;,Self Resolution;Formal Resolution;,Supreme Court Library Queensland | Queensland Civil and Administrative Tribunal,,http://www.sclqld.org.au/caselaw/QCAT,text/html,guidelines,Queensland,Queensland,"Supreme Court library - will have all published decisions regarding QCAT matters, including NDR - Tree disputes"
Question;,a neighbour;,Fences;,Self Resolution;Formal Resolution;,Supreme Court Library Queensland | Queensland Civil and Administrative Tribunal,,http://www.sclqld.org.au/caselaw/QCAT,text/html,guidelines,Queensland,Queensland,"Supreme Court library - will have all published decisions regarding QCAT matters, including NDR - Tree disputes"
Question;,a neighbour;,Trees;,Self Resolution;Formal Resolution;,Tree orders register - QCAT Queensland Civil and Administrative Tribunal,,http://www.qcat.qld.gov.au/matter-types/tree-disputes/tree-order-register,text/html,guidelines,Queensland Department of Justice and Attorney-General,Queensland,QCAT website - what type of decisions have been made regarding tree disputes before QCAT?
Concern;Question;Problem;,a neighbour;a neighbour next door;someone in my neighbourhood;a neighbour next door;a neighbour in my street;a neighbour in my building;an adjoining landowners;another unit owner/lot owner;a neighbour in my body corporate;,Pools;,Self Resolution;Formal Resolution;,Using dividing fences as a pool barrier | Queensland Building and Construction Commission,"In Queensland, dividing fences are often used as pool barriers as an efficient way to comply with pool safety laws. If you have to construct a new fence, replace, or modify an existing pool fence or barrier that you share with your neighbour, it's important that it is compliant.",https://www.qbcc.qld.gov.au/home-building-owners/pool-safety/using-dividing-fences-pool-barrier,text/html,fact sheet,Queensland,Queensland,QBCC fact sheet
